#
# Undirected graph - clustering coefficient. G(1965206, 3930409). Average clustering: 0.0001  OpenTriads: 88827553 (1.0000)  ClosedTriads: 540 (0.0000) (Fri Mar 03 16:13:49 2017)
#
# Node degree	Average clustering coefficient
2	9.27177e-005
3	4.39066e-005
4	4.50177e-005
5	2.8466e-005
6	2.67136e-005
7	2.1342e-005
8	1.98621e-005
9	2.091e-005
10	2.57032e-005
11	1.97844e-005
12	1.42188e-005
13	1.4794e-005
14	2.45325e-005
15	1.49824e-005
16	3.16656e-005
17	2.70793e-005
18	1.90164e-005
19	1.94672e-005
20	2.67374e-005
21	1.5124e-005
22	1.32385e-005
23	2.29002e-005
24	1.24082e-005
25	7.3046e-006
26	1.89266e-005
27	1.93434e-005
28	2.23721e-005
29	1.12084e-005
30	1.80067e-005
31	2.72603e-005
32	1.65528e-005
33	1.62152e-005
34	1.844e-005
35	1.26366e-005
36	2.14018e-005
37	1.37123e-005
38	1.89663e-005
39	1.49119e-005
40	1.8315e-005
41	1.23183e-005
42	2.24072e-005
43	1.5877e-005
44	8.38954e-006
45	1.98839e-005
46	1.91703e-005
47	1.30906e-005
48	1.25452e-005
49	1.8792e-005
50	1.69187e-005
51	9.62348e-006
52	0
53	4.17663e-005
54	1.39762e-005
55	1.01263e-005
56	1.88218e-005
57	2.16057e-005
58	1.87585e-005
59	1.60859e-005
60	3.36293e-005
61	2.16415e-005
62	1.52544e-005
63	1.6788e-005
64	1.22477e-005
65	6.24376e-006
66	4.19057e-005
67	1.88452e-005
68	2.87857e-005
69	0
70	1.27409e-005
71	1.52816e-005
72	2.21455e-005
73	2.92706e-005
74	2.24384e-005
75	1.2012e-005
76	1.34953e-005
77	6.44837e-006
78	1.998e-005
79	2.54565e-005
80	2.58331e-005
81	1.92901e-005
82	1.46885e-005
83	1.43346e-005
84	3.41502e-005
85	9.03587e-006
86	0
87	4.64884e-005
88	2.67931e-005
89	1.70242e-005
90	1.51326e-005
91	7.63126e-006
92	0
93	1.16877e-005
94	2.28781e-005
95	3.53628e-005
96	2.50627e-005
97	9.76257e-006
98	8.76639e-006
99	1.71786e-005
100	1.12233e-005
101	2.08442e-005
102	0
103	3.0058e-005
104	3.73413e-005
105	2.61643e-005
106	1.33107e-005
107	2.71286e-005
108	4.80751e-005
109	0
110	1.39005e-005
111	7.12175e-006
112	1.89265e-005
113	3.7183e-005
114	1.24204e-005
115	0
116	0
117	0
118	2.41441e-005
119	2.19123e-005
120	1.27324e-005
121	0
122	1.93547e-005
123	1.77707e-005
124	0
125	9.21659e-006
126	0
127	2.49969e-005
128	8.78796e-006
129	2.69165e-005
130	0
131	0
132	2.72142e-005
133	1.42401e-005
134	1.2469e-005
135	0
136	0
137	3.57807e-005
138	1.92339e-005
139	0
140	0
141	2.25149e-005
142	2.72428e-005
143	0
144	0
145	1.06428e-005
146	3.14911e-005
147	2.3297e-005
148	1.67143e-005
149	2.79061e-005
150	4.47427e-005
151	0
152	2.17846e-005
153	0
154	0
155	5.58581e-005
156	1.65426e-005
157	4.08297e-005
158	1.34376e-005
159	0
160	1.31027e-005
161	0
162	0
163	1.68312e-005
164	0
165	2.11171e-005
166	3.65097e-005
167	0
168	2.97025e-005
169	2.8177e-005
170	3.48068e-005
171	0
172	2.26665e-005
173	0
174	0
175	3.28407e-005
176	0
177	1.07002e-005
178	1.058e-005
179	7.84634e-006
180	2.48293e-005
181	0
182	3.03564e-005
183	0
184	0
185	1.46886e-005
186	0
187	0
188	0
189	3.75249e-005
190	0
191	0
192	0
193	1.34931e-005
194	1.3354e-005
195	0
196	0
197	3.10784e-005
198	0
199	0
201	4.97512e-005
202	0
203	1.21933e-005
205	3.18827e-005
206	0
207	0
208	4.64511e-005
209	0
210	0
211	4.51365e-005
212	0
213	0.000132873
214	0
215	1.44896e-005
216	0
217	2.13347e-005
218	0
219	4.18918e-005
221	1.37118e-005
222	2.03824e-005
223	0
224	0
226	2.35988e-005
227	9.74621e-006
228	0
229	1.91527e-005
230	0
232	1.86595e-005
233	0
236	0
237	7.15154e-005
238	3.54572e-005
239	3.51605e-005
241	0
242	6.85848e-005
244	3.37314e-005
245	1.6728e-005
246	0
247	1.64577e-005
248	0
249	0
250	0
251	3.18725e-005
252	3.16196e-005
253	1.04565e-005
254	1.03742e-005
255	0
256	1.53186e-005
258	0
259	5.98605e-005
261	2.94724e-005
262	2.92475e-005
264	0
265	1.42939e-005
266	2.83728e-005
267	0
269	2.08067e-005
270	5.50737e-005
272	2.71326e-005
273	0
274	1.33686e-005
275	8.8476e-006
278	2.5972e-005
279	0
280	2.56016e-005
281	2.54194e-005
282	2.52391e-005
283	0
284	2.48843e-005
287	7.30976e-005
288	0
290	0
292	0
293	2.33765e-005
297	2.275e-005
298	0
301	0
302	1.10009e-005
303	2.18565e-005
305	0
306	0
307	6.38692e-005
309	0
310	6.2637e-005
312	1.03059e-005
314	1.01748e-005
315	2.02204e-005
317	1.99657e-005
318	1.98401e-005
319	0
321	1.94704e-005
325	1.89934e-005
326	0
327	0
330	0
333	0
336	1.77683e-005
337	1.76629e-005
339	0
343	1.70494e-005
349	3.29348e-005
352	0
353	1.60958e-005
358	0
364	1.51364e-005
365	3.01069e-005
367	1.48896e-005
371	1.45698e-005
376	2.83688e-005
377	1.41091e-005
379	1.39604e-005
380	3.47174e-006
382	2.74835e-005
383	1.367e-005
