#
# Undirected graph - in-degree Distribution. G(1965206, 5895612). 561806 (0.2859) nodes with in-deg > avg deg (6.0), 150721 (0.0767) with >2*avg.deg (Fri Mar 03 02:04:35 2017)
#
# In-degree	Count
3	786636
4	392345
5	224419
6	140150
7	93873
8	65738
9	47613
10	36019
11	27692
12	21665
13	17224
14	14042
15	11372
16	9620
17	8159
18	6723
19	5868
20	5043
21	4541
22	3870
23	3488
24	3053
25	2656
26	2400
27	2172
28	1893
29	1738
30	1490
31	1414
32	1349
33	1182
34	1088
35	997
36	908
37	857
38	832
39	740
40	714
41	634
42	612
43	525
44	498
45	470
46	473
47	429
48	388
49	380
50	367
51	328
52	337
53	271
54	280
55	283
56	256
57	221
58	237
59	248
60	180
61	178
62	194
63	163
64	193
65	162
66	148
67	137
68	133
69	124
70	117
71	127
72	116
73	108
74	127
75	95
76	88
77	93
78	107
79	110
80	89
81	83
82	80
83	94
84	74
85	83
86	73
87	61
88	65
89	64
90	60
91	49
92	59
93	53
94	65
95	63
96	55
97	59
98	55
99	50
100	46
101	41
102	35
103	43
104	44
105	50
106	34
107	38
108	32
109	39
110	31
111	30
112	43
113	32
114	38
115	33
116	31
117	28
118	23
119	26
120	23
121	32
122	26
123	24
124	25
125	22
126	24
127	22
128	20
129	22
130	19
131	17
132	27
133	27
134	15
135	14
136	16
137	13
138	20
139	14
140	17
141	17
142	17
143	11
144	15
145	9
146	17
147	11
148	18
149	16
150	10
151	13
152	13
153	13
154	10
155	13
156	15
157	15
158	16
159	15
160	14
161	12
162	9
163	11
164	9
165	13
166	6
167	11
168	10
169	7
170	8
171	13
172	6
173	11
174	8
175	5
176	12
177	3
178	10
179	12
180	6
181	7
182	5
183	3
184	6
185	8
186	8
187	5
188	6
189	1
190	8
191	9
192	6
193	8
194	8
195	7
196	8
197	2
198	6
199	6
200	5
201	10
202	4
203	9
204	5
205	2
206	7
207	7
208	6
209	6
210	5
211	3
212	3
213	9
214	3
215	7
216	5
217	4
218	2
219	6
220	4
221	4
222	4
223	3
224	2
225	5
226	4
227	7
228	4
229	4
230	7
231	2
232	5
233	1
234	5
235	4
236	7
237	1
238	2
239	1
240	5
241	3
242	5
243	7
244	3
245	1
246	2
247	3
248	2
249	3
250	3
251	4
252	4
253	6
254	5
256	3
257	4
258	3
259	3
260	3
261	1
262	4
263	3
264	4
265	2
266	5
267	1
268	2
269	2
270	3
271	4
272	1
273	3
274	2
275	8
276	1
277	3
278	2
279	2
281	5
282	1
283	2
284	2
285	1
286	2
287	1
288	2
289	1
290	3
291	3
293	2
294	1
295	4
296	1
297	1
298	1
299	1
300	1
302	3
303	2
304	2
306	3
307	3
308	3
309	1
310	3
312	1
313	2
314	2
317	1
318	3
319	3
320	1
321	3
322	3
323	1
324	2
325	1
327	1
328	2
330	1
331	2
332	1
333	1
334	1
335	2
338	3
339	1
340	3
341	2
342	1
344	2
347	3
348	1
349	2
350	1
351	1
352	3
353	1
355	3
356	1
357	2
358	1
360	1
361	2
364	1
365	3
367	1
370	1
371	2
373	1
375	2
376	2
377	2
379	3
380	2
381	1
384	2
385	2
387	1
390	2
391	1
392	1
393	1
394	2
399	1
400	1
401	1
406	1
407	1
410	1
411	1
412	2
413	2
414	1
420	1
422	1
423	2
424	2
425	2
429	1
433	2
434	1
436	2
439	1
445	1
446	1
447	1
449	1
452	1
454	1
455	2
457	1
458	1
459	1
461	3
463	2
464	2
466	1
467	2
477	2
482	1
484	1
488	1
490	2
492	1
493	1
494	1
507	1
508	1
516	5
519	1
521	2
525	1
526	1
528	1
533	1
534	1
539	1
542	1
544	1
547	1
548	1
562	1
565	1
572	1
583	1
585	1
586	1
592	1
607	1
608	1
611	1
615	1
617	1
622	1
627	1
632	1
633	1
634	1
638	1
647	1
655	1
669	1
677	1
685	1
700	1
701	1
711	1
714	1
715	1
737	1
743	1
745	1
748	1
759	1
762	1
768	1
777	1
792	1
799	1
820	1
846	1
856	1
870	1
891	1
892	1
905	1
920	1
1004	1
1046	1
1049	1
1066	1
1068	2
1114	1
1129	1
1157	1
1185	1
1202	1
1215	1
1219	1
1221	1
1319	1
1352	1
1388	1
1389	1
1404	1
1550	1
1556	1
1818	1
1933	1
2014	1
2554	1
2985	1
3135	1
3151	1
3714	1
3768	1
