#
# Random Graph Eigenvalue Distribution. G(10000, 10000). Largest eig val = -2.993367 (Sat Feb 18 14:43:30 2017)
#
# Eigen value	Count
-3.7526	1
-3.73695	0
-3.7213	0
-3.70564	0
-3.68999	0
-3.67433	0
-3.65868	0
-3.64302	1
-3.62737	0
-3.61171	0
-3.59606	0
-3.58041	0
-3.56475	0
-3.5491	1
-3.53344	0
-3.51779	0
-3.50213	0
-3.48648	1
-3.47083	0
-3.45517	0
-3.43952	0
-3.42386	1
-3.40821	0
-3.39255	0
-3.3769	1
-3.36124	0
-3.34559	0
-3.32994	1
-3.31428	0
-3.29863	0
-3.28297	0
-3.26732	0
-3.25166	1
-3.23601	0
-3.22036	0
-3.2047	0
-3.18905	0
-3.17339	1
-3.15774	0
-3.14208	0
-3.12643	0
-3.11077	0
-3.09512	0
-3.07947	1
-3.06381	0
-3.04816	0
-3.0325	0
-3.01685	0
-3.00119	0
-2.98554	1
