#
# Undirected graph - shortest path. G(10000, 10000). Diam: avg:12.55  eff:15.59  max:33 (Sat Feb 18 14:43:47 2017)
#
# Number of hops	Number of shortest paths
0	10000
1	20000
2	39466
3	77782
4	153034
5	300512
6	584998
7	1.1197e+006
8	2.07955e+006
9	3.6433e+006
10	5.8253e+006
11	8.15721e+006
12	9.68495e+006
13	9.62881e+006
14	8.08124e+006
15	5.85894e+006
16	3.78202e+006
17	2.23562e+006
18	1.24946e+006
19	671096
20	349634
21	174992
22	83360
23	37418
24	16120
25	6652
26	2702
27	1082
28	414
29	168
30	68
31	26
32	8
33	2
