#
# Undirected graph - clustering coefficient. G(10000, 14813). Average clustering: 0.0186  OpenTriads: 676189 (0.9972)  ClosedTriads: 1890 (0.0028) (Sat Feb 18 15:50:43 2017)
#
# Node degree	Average clustering coefficient
1	0
2	0.0345417
3	0.0348455
4	0.0337382
5	0.0365145
6	0.0370787
7	0.0216837
8	0.0369181
9	0.0194004
10	0.0222222
11	0.0318182
12	0.0298295
13	0.0244391
14	0.0393291
15	0.0246499
16	0.0289474
17	0.0275735
18	0.0334487
19	0.0223285
20	0.0355263
21	0.0362637
22	0.0470006
23	0.0256917
24	0.0300207
25	0.0288889
26	0.0148718
27	0.017094
28	0.0246914
29	0.0320197
30	0.0197044
31	0.0580645
32	0.015121
33	0.0277778
34	0.0338681
35	0.0260504
36	0.026455
37	0.0277778
38	0.0284495
39	0.00809717
40	0.024359
44	0.0243129
47	0.0249769
48	0.025266
49	0.0314626
50	0.0171429
55	0.0188552
57	0.0281955
59	0.0222092
60	0.0141243
66	0.016317
67	0.0171868
68	0.0162423
74	0.0277675
76	0.0182456
80	0.0170886
83	0.00999118
92	0.0138557
94	0.0169298
97	0.0208333
98	0.0147275
104	0.0141897
116	0.0118441
142	0.00889022
146	0.012565
190	0.00740741
287	0.0071392
364	0.00458632
524	0.00386058
711	0.00310216
