#
# Undirected graph - clustering coefficient. G(1965206, 2892424). Average clustering: 0.0031  OpenTriads: 169794504 (0.9991)  ClosedTriads: 152084 (0.0009) (Fri Mar 03 02:03:38 2017)
#
# Node degree	Average clustering coefficient
1	0
2	0.00567499
3	0.00567262
4	0.0057226
5	0.00560976
6	0.00551915
7	0.00558167
8	0.00566215
9	0.0055666
10	0.00545195
11	0.00516452
12	0.00577683
13	0.00535374
14	0.00542548
15	0.00539562
16	0.00547677
17	0.00504519
18	0.0054162
19	0.00517307
20	0.00495818
21	0.00540403
22	0.00518159
23	0.0051018
24	0.00529461
25	0.00527247
26	0.00541524
27	0.00525646
28	0.00453744
29	0.00497172
30	0.00501776
31	0.00522105
32	0.00516326
33	0.00490423
34	0.00555848
35	0.00525501
36	0.00481816
37	0.00495495
38	0.00501999
39	0.0042706
40	0.00480659
41	0.00507966
42	0.00478988
43	0.00419897
44	0.00465652
45	0.00457819
46	0.00447618
47	0.00462965
48	0.00483407
49	0.0047786
50	0.00469886
51	0.00442219
52	0.00437964
53	0.00461253
54	0.0047621
55	0.00481917
56	0.00415683
57	0.0045165
58	0.00460948
59	0.00528739
60	0.00493173
61	0.00429569
62	0.00368412
63	0.00404205
64	0.00394282
65	0.0044599
66	0.00428904
67	0.0040616
68	0.00427163
69	0.00389214
70	0.00465088
71	0.00453425
72	0.00447036
73	0.0040569
74	0.00495701
75	0.00438984
76	0.00427673
77	0.00467562
78	0.00480371
79	0.0040436
80	0.00414144
81	0.00385802
82	0.00396979
83	0.00356828
84	0.00429575
85	0.00389299
86	0.00419129
87	0.00305919
88	0.00383331
89	0.00457464
90	0.00392123
91	0.00404151
92	0.00374263
93	0.003331
94	0.00431673
95	0.00393116
96	0.00467836
97	0.00428392
98	0.00384845
99	0.00355155
100	0.00363636
101	0.00378286
102	0.00392008
103	0.00402592
104	0.00321644
105	0.00321821
106	0.00379412
107	0.00397735
108	0.00374986
109	0.0033911
110	0.00422352
111	0.00345705
112	0.00402188
113	0.00388748
114	0.00426583
115	0.00413694
116	0.0033626
117	0.00350202
118	0.00311942
119	0.00330259
120	0.00306567
121	0.00362431
122	0.00417457
123	0.00310709
124	0.00394904
125	0.00324731
126	0.00393651
127	0.00356987
128	0.00494177
129	0.00344135
130	0.00410256
131	0.00308054
132	0.00395348
133	0.00269993
134	0.00236911
135	0.00367212
136	0.00385349
137	0.00340812
138	0.00395818
139	0.00372059
140	0.00359141
141	0.00384161
142	0.0035461
143	0.00317288
144	0.00321727
145	0.00337302
146	0.00299165
147	0.00401744
148	0.00379029
149	0.00354616
150	0.00414616
151	0.00198675
152	0.00431335
153	0.00359874
154	0.00334814
155	0.00328865
156	0.00356418
157	0.00353857
158	0.00288786
159	0.00294563
160	0.00321541
161	0.00289855
162	0.00334111
163	0.00344078
164	0.00314978
165	0.00323725
166	0.00306681
167	0.00300123
168	0.00385736
169	0.00300085
170	0.00432997
171	0.00257998
172	0.00266331
173	0.0036116
174	0.00280528
175	0.00261631
176	0.0032684
177	0.00330994
178	0.00238685
179	0.00425446
180	0.00237652
181	0.00306323
182	0.00227673
183	0.00252207
184	0.00371228
185	0.00321844
186	0.00272208
187	0.00291338
188	0.00423825
189	0.00272993
190	0.00288756
191	0.00272802
192	0.00324498
193	0.00285454
194	0.003018
195	0.00373853
196	0.0029304
197	0.00303015
198	0.00232785
199	0.00356581
200	0.00232412
201	0.00283582
202	0.00331264
203	0.00300769
204	0.0029621
205	0.00340746
206	0.00295998
207	0.00294311
208	0.00324229
209	0.0028064
210	0.0028936
211	0.0028436
212	0.00257087
213	0.00348422
214	0.00308236
215	0.000478157
216	0.00202412
217	0.00292285
218	0.00333056
219	0.00339324
220	0.00240764
221	0.00252982
222	0.0018548
223	0.00280101
224	0.00309898
225	0.00344246
226	0.00253687
227	0.00214417
228	0.00238813
229	0.00344748
230	0.00242548
231	0.00305665
232	0.00341469
233	0.00237254
234	0.00231099
235	0.00251864
236	0.00326361
237	0.00238861
238	0.00205652
239	0.00425442
240	0.00316423
241	0.00335408
242	0.00219471
243	0.00215964
244	0.00334503
245	0.00222482
246	0.0024888
247	0.00261677
248	0.00291672
249	0.00263419
250	0.00343775
251	0.00292696
252	0.00262442
253	0.00255662
254	0.00310448
256	0.00341605
257	0.00361746
258	0.00208126
259	0.00273862
260	0.00269528
261	0.00194518
262	0.00261472
265	0.0023442
266	0.00249681
267	0.00277848
269	0.00239971
270	0.00217541
271	0.00338937
272	0.00260473
273	0.00368994
274	0.00208551
275	0.00230922
276	0.00269302
277	0.00321771
278	0.00273225
279	0.00293958
280	0.00281618
281	0.00214794
282	0.00217057
283	0.00242254
285	0.00289103
286	0.00196908
287	0.0030701
288	0.00274632
289	0.00237889
290	0.00316191
291	0.00259509
294	0.00154396
296	0.00185525
298	0.00220701
299	0.00195843
300	0.0026087
302	0.00235418
304	0.00332204
305	0.0043572
307	0.00241
308	0.00210457
309	0.00322224
310	0.00244284
311	0.00294575
312	0.00267953
313	0.00370689
315	0.0029724
317	0.0024824
318	0.00163681
319	0.00240532
320	0.00203762
321	0.00211578
322	0.0019156
323	0.00224987
324	0.0017391
325	0.00205128
326	0.0020387
327	0.00190741
329	0.0022333
330	0.00252372
331	0.00272819
332	0.00256616
335	0.00262162
337	0.00221374
340	0.00274163
341	0.00254154
342	0.00289825
345	0.00250253
346	0.00208595
347	0.00270693
348	0.00231873
349	0.00163851
350	0.00304544
351	0.00271876
352	0.001813
354	0.00313695
355	0.00187793
356	0.00201772
359	0.00192185
360	0.00263076
362	0.002112
363	0.00101974
364	0.002664
365	0.00374831
366	0.00209597
370	0.00299568
371	0.00233117
373	0.0026161
375	0.00179679
376	0.00221277
377	0.00152379
378	0.00205605
381	0.00266611
383	0.00229656
384	0.0022438
385	0.00267406
386	0.00200076
388	0.00218439
389	0.00196777
390	0.00239272
391	0.00241327
394	0.00210537
395	0.00192765
396	0.00225035
397	0.00230262
398	0.00216447
402	0.00210295
404	0.00180576
405	0.00187019
406	0.00274889
408	0.00205955
409	0.00171389
411	0.00150733
413	0.00172195
414	0.00269034
415	0.00137361
416	0.00257183
417	0.00152186
419	0.00156444
420	0.00214418
426	0.00203259
427	0.00317754
428	0.00187864
432	0.00224499
433	0.00219186
434	0.00227754
435	0.00147254
437	0.00130162
439	0.0022363
442	0.00227783
443	0.00205305
444	0.00186078
445	0.00215609
448	0.00215225
451	0.0025967
456	0.00187006
461	0.00161275
462	0.00277958
465	0.00219998
466	0.00200286
468	0.00193086
469	0.00255135
470	0.0021322
471	0.00131002
472	0.00308575
473	0.00224854
474	0.00256911
478	0.00188153
479	0.00161599
482	0.00155278
487	0.00188438
488	0.00130441
490	0.00243729
492	0.00117977
495	0.00189752
496	0.00206908
497	0.00237717
498	0.00175349
500	0.00186373
503	0.00270093
507	0.00191002
511	0.00106673
513	0.00204069
516	0.00215248
518	0.00234498
519	0.00165897
521	0.00185295
522	0.00212897
523	0.00198897
524	0.00203611
537	0.00124378
543	0.0017125
551	0.00201947
556	0.00204809
557	0.000988078
558	0.00222003
559	0.00144267
560	0.0019103
571	0.0014072
575	0.00179973
579	0.0016554
580	0.00153058
587	0.00166578
588	0.00167461
590	0.00140428
599	0.00154661
606	0.00152743
611	0.0015508
615	0.00222452
617	0.00201541
619	0.00166779
622	0.00125821
623	0.00177546
624	0.00133247
626	0.0013393
628	0.00177775
637	0.0017772
644	0.00127508
649	0.00153132
654	0.00179833
657	0.00132253
673	0.00151242
675	0.00178481
680	0.00169367
684	0.00203351
693	0.00123448
714	0.0014536
724	0.00207469
734	0.00157243
737	0.00131998
742	0.00171692
744	0.00132961
758	0.00151271
763	0.00133126
766	0.00159388
779	0.00169125
796	0.00117253
805	0.00156361
823	0.00147227
831	0.00152813
836	0.00169899
846	0.000842111
847	0.00102713
863	0.00170989
864	0.00117484
874	0.00152424
883	0.00119157
894	0.00125761
908	0.00154816
938	0.00177948
993	0.00141312
1002	0.00100299
1020	0.00106217
1022	0.00113085
1026	0.000937574
1029	0.00149554
1066	0.00156612
1071	0.00120771
1073	0.00106933
1095	0.00136068
1105	0.00117713
1137	0.00109164
1161	0.00131575
1182	0.00150436
1186	0.00130353
1209	0.00106541
1215	0.00105762
1228	0.000988879
1263	0.00126607
1269	0.00111367
1297	0.00128026
1318	0.0010439
1330	0.001024
1342	0.00116802
1351	0.0012819
1357	0.0010956
1361	0.000917362
1371	0.00112657
1383	0.0011929
1390	0.000879469
1421	0.00110912
1491	0.00103169
1608	0.000915615
1615	0.00105348
1679	0.0010556
1699	0.00101979
1782	0.000915638
1865	0.000956748
2070	0.000746703
2090	0.000826842
2127	0.000740822
2200	0.000624251
2241	0.000784886
2311	0.000744042
2323	0.000719688
2345	0.00075209
2359	0.000817974
2555	0.000694816
2963	0.000656761
3837	0.000541895
4937	0.000427264
4978	0.000397005
5264	0.000398925
7542	0.000274711
7648	0.000291737
10533	0.000212992
11177	0.000208719
11421	0.000209603
61466	-0.000299965
