#
# Random Graph Eigenvalue Distribution. G(10000, 14813). Largest eig val = 31.215448 (Sat Feb 18 15:49:53 2017)
#
# Eigen value	Count
-25.7266	1
-24.5525	0
-23.3785	0
-22.2044	1
-21.0303	0
-19.8563	0
-18.6822	0
-17.5082	0
-16.3341	0
-15.16	0
-13.986	0
-12.8119	0
-11.6378	0
-10.4638	0
-9.28971	0
-8.11565	0
-6.94159	0
-5.76753	0
-4.59346	0
-3.4194	0
-2.24534	0
-1.07128	0
0.102787	0
1.27685	0
2.45091	0
3.62497	0
4.79904	0
5.9731	0
7.14716	0
8.32123	0
9.49529	0
10.6694	0
11.8434	0
13.0175	0
14.1915	0
15.3656	0
16.5397	0
17.7137	0
18.8878	0
20.0619	0
21.2359	0
22.41	1
23.584	0
24.7581	0
25.9322	0
27.1062	0
28.2803	0
29.4544	0
30.6284	0
31.8025	1
