#
# Undirected graph - in-degree Distribution. G(1965206, 2892424). 497111 (0.2530) nodes with in-deg > avg deg (2.9), 152464 (0.0776) with >2*avg.deg (Fri Mar 03 02:02:55 2017)
#
# In-degree	Count
1	894349
2	573746
3	197322
4	93722
5	53603
6	33882
7	23154
8	16469
9	12071
10	9277
11	7291
12	5980
13	4866
14	3980
15	3419
16	2891
17	2447
18	2148
19	1837
20	1674
21	1498
22	1310
23	1190
24	1021
25	942
26	829
27	813
28	660
29	648
30	602
31	547
32	533
33	492
34	355
35	434
36	395
37	340
38	327
39	310
40	291
41	248
42	274
43	240
44	237
45	216
46	207
47	215
48	212
49	163
50	164
51	141
52	135
53	132
54	151
55	147
56	132
57	120
58	113
59	107
60	96
61	108
62	90
63	85
64	78
65	94
66	85
67	101
68	78
69	84
70	69
71	71
72	61
73	65
74	54
75	66
76	53
77	47
78	47
79	48
80	46
81	44
82	49
83	56
84	40
85	49
86	47
87	45
88	46
89	35
90	44
91	40
92	39
93	32
94	38
95	38
96	33
97	37
98	24
99	35
100	22
101	29
102	26
103	27
104	22
105	21
106	35
107	18
108	21
109	25
110	25
111	19
112	18
113	25
114	21
115	17
116	21
117	17
118	15
119	16
120	18
121	16
122	16
123	16
124	26
125	18
126	16
127	16
128	12
129	17
130	10
131	13
132	11
133	10
134	9
135	14
136	16
137	8
138	12
139	19
140	18
141	12
142	10
143	14
144	8
145	14
146	9
147	9
148	13
149	10
150	9
151	8
152	14
153	13
154	9
155	4
156	11
157	9
158	11
159	9
160	10
161	6
162	7
163	7
164	10
165	10
166	6
167	5
168	9
169	10
170	10
171	4
172	6
173	15
174	9
175	6
176	6
177	9
178	5
179	9
180	7
181	10
182	2
183	5
184	8
185	9
186	6
187	6
188	4
189	8
190	13
191	2
192	4
193	9
194	8
195	7
196	1
197	6
198	5
199	4
200	4
201	8
202	4
203	9
204	3
205	4
206	2
207	4
208	5
209	6
210	4
211	3
212	2
213	6
214	4
215	1
216	3
217	2
218	9
219	4
220	1
221	4
222	2
223	3
224	5
225	4
226	2
227	1
228	5
229	2
230	8
231	5
232	6
233	8
234	1
235	4
236	6
237	5
238	4
239	1
240	4
241	1
242	2
243	6
244	6
245	2
246	4
247	4
248	3
249	3
250	4
251	6
252	3
253	2
254	4
256	2
257	3
258	2
259	4
260	4
261	1
262	5
265	1
266	2
267	3
269	2
270	1
271	1
272	2
273	1
274	3
275	3
276	5
277	2
278	5
279	1
280	1
281	4
282	4
283	3
285	1
286	4
287	1
288	2
289	2
290	2
291	2
294	2
296	3
298	3
299	4
300	2
302	2
304	2
305	1
307	5
308	2
309	3
310	2
311	2
312	1
313	1
315	1
317	3
318	2
319	1
320	2
321	3
322	2
323	2
324	1
325	2
326	1
327	3
329	2
330	1
331	2
332	2
335	3
337	3
340	1
341	3
342	1
345	2
346	2
347	2
348	3
349	2
350	2
351	1
352	2
354	1
355	1
356	2
359	2
360	1
362	2
363	1
364	1
365	1
366	1
370	2
371	1
373	2
375	1
376	1
377	1
378	4
381	1
383	1
384	3
385	3
386	3
388	1
389	2
390	2
391	2
394	1
395	1
396	2
397	1
398	1
402	2
404	2
405	1
406	1
408	3
409	1
411	1
413	2
414	1
415	1
416	1
417	1
419	2
420	3
426	1
427	1
428	3
432	1
433	1
434	1
435	1
437	1
439	2
442	1
443	1
444	2
445	1
448	2
451	2
456	1
461	1
462	1
465	3
466	4
468	1
469	1
470	2
471	1
472	1
473	1
474	1
478	2
479	1
482	2
487	2
488	1
490	1
492	2
495	1
496	1
497	1
498	1
500	2
503	1
507	1
511	1
513	1
516	1
518	1
519	1
521	1
522	2
523	2
524	1
537	1
543	1
551	1
556	1
557	1
558	1
559	1
560	2
571	1
575	1
579	1
580	2
587	2
588	1
590	1
599	1
606	1
611	1
615	1
617	2
619	3
622	1
623	2
624	1
626	1
628	1
637	2
644	1
649	1
654	1
657	1
673	1
675	1
680	1
684	1
693	1
714	1
724	1
734	1
737	1
742	1
744	2
758	1
763	1
766	1
779	2
796	1
805	1
823	1
831	1
836	1
846	1
847	1
863	1
864	1
874	2
883	1
894	1
908	2
938	1
993	1
1002	1
1020	1
1022	1
1026	1
1029	1
1066	1
1071	1
1073	1
1095	1
1105	1
1137	1
1161	1
1182	1
1186	1
1209	1
1215	1
1228	1
1263	1
1269	1
1297	1
1318	1
1330	1
1342	1
1351	1
1357	1
1361	1
1371	1
1383	1
1390	1
1421	1
1491	1
1608	1
1615	1
1679	1
1699	1
1782	1
1865	1
2070	1
2090	1
2127	1
2200	1
2241	1
2311	1
2323	1
2345	1
2359	1
2555	1
2963	1
3837	1
4937	1
4978	1
5264	1
7542	1
7648	1
10533	1
11177	1
11421	1
61466	1
