#
# Undirected graph - out-degree Distribution. G(10000, 14813). 2561 (0.2561) nodes with out-deg > avg deg (3.0), 812 (0.0812) with >2*avg.deg (Sat Feb 18 15:50:43 2017)
#
# Out-degree	Count
1	4515
2	2924
3	1014
4	494
5	241
6	178
7	112
8	89
9	63
10	45
11	40
12	32
13	32
14	19
15	17
16	19
17	16
18	17
19	11
20	8
21	13
22	7
23	4
24	7
25	9
26	6
27	1
28	3
29	4
30	7
31	2
32	2
33	3
34	2
35	2
36	3
37	2
38	1
39	1
40	2
44	1
47	1
48	2
49	1
50	1
55	1
57	1
59	1
60	2
66	1
67	1
68	2
74	1
76	1
80	1
83	1
92	1
94	1
97	1
98	1
104	1
116	2
142	1
146	1
190	1
287	1
364	1
524	1
711	1
